branch_id,income,expense,num_booking,avg_cost,is_profitable,number_of_workers
1,1000000,400000,125,800,1,9
2,800000,300000,100,750,1,5
3,1200000,600000,150,900,1,7
4,500000,550000,80,600,0,12
5,700000,300000,120,700,1,10
6,900000,400000,130,850,1,3
7,1100000,500000,140,950,1,8
8,300000,350000,50,500,0,6
9,1000000,450000,110,780,1,15
10,600000,250000,95,650,1,4
11,850000,400000,105,720,1,13
12,400000,450000,70,550,0,11
13,950000,500000,115,800,1,14
14,750000,350000,100,700,1,2
15,1300000,700000,160,1000,1,7
16,300000,300000,45,480,0,8
17,1100000,600000,120,800,1,10
18,900000,420000,135,880,1,6
19,650000,320000,85,680,1,5
20,1200000,550000,140,920,1,3
21,400000,350000,60,520,0,15
22,850000,450000,110,750,1,9
23,950000,500000,125,800,1,7
24,700000,300000,100,700,1,4
25,500000,250000,80,600,1,13
26,1100000,600000,130,850,1,8
27,850000,400000,120,780,1,11
28,600000,350000,110,700,1,6
29,900000,450000,130,850,1,9
30,1200000,550000,140,920,1,12
31,400000,300000,80,550,1,2
32,800000,400000,90,650,1,7
33,1100000,500000,120,800,1,10
34,500000,250000,70,520,1,5
35,700000,300000,100,700,1,4
36,900000,450000,130,850,1,13
37,1200000,550000,140,920,1,8
38,400000,300000,80,550,1,3
39,800000,400000,90,650,1,9
40,1100000,500000,120,800,1,6
41,500000,250000,70,520,1,7
42,700000,300000,100,700,1,11
43,900000,450000,130,850,1,14
44,1200000,550000,140,920,1,5
45,400000,300000,80,550,1,8
46,800000,400000,90,650,1,10
47,1100000,500000,120,800,1,13
48,500000,250000,70,520,1,6
49,700000,300000,100,700,1,4
50,900000,450000,130,850,1,15
